Date,Open,High,Low,Close,Volume
16-Oct-12,5705.6,5714,5635.6,5648,117415701
17-Oct-12,5681.1,5684.35,5633.9,5660.25,123974371
18-Oct-12,5675.3,5722.5,5650.55,5718.7,144097860
19-Oct-12,5703.3,5711.7,5660,5684.25,124262817
22-Oct-12,5667.6,5721.55,5658.05,5717.15,103372318
23-Oct-12,5715.65,5720.8,5681.45,5691.4,81501427
25-Oct-12,5688.8,5718.75,5685.7,5705.3,158343061
26-Oct-12,5683.55,5697.2,5641.75,5664.3,101663820
29-Oct-12,5665.2,5698.3,5645.1,5665.6,93555816
30-Oct-12,5656.35,5689.9,5589.9,5597.9,116678775
